,,George W. Bush:Republican,,,Al Gore:Democratic,,,Ralph Nader:Green,,,Pat Buchanan:Reform,,,Harry Browne:Libertarian,,,Howard Phillips:Constitution,,,John Hagelin:Natural Law,,,Others,,,State Total
State,EV,#,,EV,#,,EV,#,,EV,#,,EV,#,,EV,#,,EV,#,,EV,#,,EV,#
Nebraska -3,1,"159,815",71.35,1,"55,859",24.94,0,"5,960",2.66,0,"1,477",0.66,0,566,0.25,0,155,0.07,0,152,0.07,0,0,0,0,"223,984"
Nevada,4,"301,575",49.52,4,"279,978",45.98,0,"15,008",2.46,0,"4,747",0.78,0,"3,311",0.54,0,621,0.10,0,415,0.07,0,"3,315",0.54,0,"608,970"
New Hampshire,4,"273,559",48.07,4,"266,348",46.80,0,"22,198",3.90,0,"2,615",0.46,0,"2,757",0.48,0,328,0.06,0,55,0.01,0,"1,221",0.21,0,"569,081"
New Jersey,15,"1,284,173",40.29,0,"1,788,850",56.13,15,"94,554",2.97,0,"6,989",0.22,0,"6,312",0.20,0,"1,409",0.04,0,"2,215",0.07,0,"2,724",0.09,0,"3,187,226"
New Mexico,5,"286,417",47.85,0,"286,783",47.91,5,"21,251",3.55,0,"1,392",0.23,0,"2,058",0.34,0,343,0.06,0,361,0.06,0,0,0,0,"598,605"
New York,33,"2,403,374",35.23,0,"4,107,697",60.21,33,"244,030",3.58,0,"31,599",0.46,0,"7,649",0.11,0,"1,498",0.02,0,"24,361",0.36,0,"1,791",0.03,0,"6,821,999"
North Carolina,14,"1,631,163",56.03,14,"1,257,692",43.20,0,0,0,0,"8,874",0.30,0,"12,307",0.42,0,0,0,0,0,0,0,"1,226",0.04,0,"2,911,262"
North Dakota,3,"174,852",60.66,3,"95,284",33.06,0,"9,486",3.29,0,"7,288",2.53,0,660,0.23,0,373,0.13,0,313,0.11,0,0,0,0,"288,256"
Ohio,21,"2,351,209",49.97,21,"2,186,190",46.46,0,"117,857",2.50,0,"26,724",0.57,0,"13,475",0.29,0,"3,823",0.08,0,"6,169",0.13,0,10,0.00,0,"4,705,457"
Oklahoma,8,"744,337",60.31,8,"474,276",38.43,0,0,0,0,"9,014",0.73,0,"6,602",0.53,0,0,0,0,0,0,0,0,0,0,"1,234,229"
Oregon,7,"713,577",46.52,0,"720,342",46.96,7,"77,357",5.04,0,"7,063",0.46,0,"7,447",0.49,0,"2,189",0.14,0,"2,574",0.17,0,"3,419",0.22,0,"1,533,968"
Pennsylvania,23,"2,281,127",46.43,0,"2,485,967",50.60,23,"103,392",2.10,0,"16,023",0.33,0,"11,248",0.23,0,"14,428",0.29,0,0,0,0,934,0.02,0,"4,913,119"
Rhode Island,4,"130,555",31.91,0,"249,508",60.99,4,"25,052",6.12,0,"2,273",0.56,0,742,0.18,0,97,0.02,0,271,0.07,0,614,0.15,0,"409,112"
South Carolina,8,"785,937",56.84,8,"565,561",40.90,0,"20,200",1.46,0,"3,519",0.25,0,"4,876",0.35,0,"1,682",0.12,0,942,0.07,0,0,0,0,"1,382,717"
South Dakota,3,"190,700",60.30,3,"118,804",37.56,0,0,0,0,"3,322",1.05,0,"1,662",0.53,0,"1,781",0.56,0,0,0,0,0,0,0,"316,269"
Tennessee,11,"1,061,949",51.15,11,"981,720",47.28,0,"19,781",0.95,0,"4,250",0.20,0,"4,284",0.21,0,"1,015",0.05,0,613,0.03,0,"2,569",0.12,0,"2,076,181"
Texas,32,"3,799,639",59.30,32,"2,433,746",37.98,0,"137,994",2.15,0,"12,394",0.19,0,"23,160",0.36,0,567,0.01,0,0,0,0,137,0.00,0,"6,407,637"
Utah,5,"515,096",66.83,5,"203,053",26.34,0,"35,850",4.65,0,"9,319",1.21,0,"3,616",0.47,0,"2,709",0.35,0,763,0.10,0,348,0.05,0,"770,754"
Vermont,3,"119,775",40.70,0,"149,022",50.63,3,"20,374",6.92,0,"2,192",0.74,0,784,0.27,0,153,0.05,0,219,0.07,0,"1,789",0.61,0,"294,308"
Virginia,13,"1,437,490",52.47,13,"1,217,290",44.44,0,"59,398",2.17,0,"5,455",0.20,0,"15,198",0.55,0,"1,809",0.07,0,171,0.01,0,"2,636",0.10,0,"2,739,447"
Washington,11,"1,108,864",44.58,0,"1,247,652",50.16,11,"103,002",4.14,0,"7,171",0.29,0,"13,135",0.53,0,"1,989",0.08,0,"2,927",0.12,0,"2,693",0.11,0,"2,487,433"
West Virginia,5,"336,475",51.92,5,"295,497",45.59,0,"10,680",1.65,0,"3,169",0.49,0,"1,912",0.30,0,23,0.00,0,367,0.06,0,1,0.00,0,"648,124"
Wisconsin,11,"1,237,279",47.61,0,"1,242,987",47.83,11,"94,070",3.62,0,"11,471",0.44,0,"6,640",0.26,0,"2,042",0.08,0,853,0.03,0,"3,265",0.13,0,"2,598,607"
Wyoming,3,"147,947",67.76,3,"60,481",27.70,0,"4,625",2.12,0,"2,724",1.25,0,"1,443",0.66,0,720,0.33,0,411,0.19,0,0,0,0,"218,351"
Totals,538,"50,456,002",47.86,271,"50,999,897",48.38,266,"2,882,955",2.74,0,"448,895",0.43,0,"384,431",0.36,0,"98,020",0.09,0,"83,714",0.08,0,"51,186",0.05,0,"105,405,100"
